name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
Per OB2,a,o,57.758,35.1,159.588,-14.691,0.3,1.4,3.2,52,931,4262,400,0.2,7.355,,MELN,ass,,,OB ASSOCIATION/HII REGION
IC 2602,,,160.44,-64.4,289.486,-4.968,0.09,0.8,1.48,18,935,3229,151,0.031,8.345,,COCD,,-0.099,0.101,OPEN STAR CLUSTER
NGC 2168,,,92.302,24.36,186.602,2.266,0.04,0.4,0.98,26,938,3059,830,0.26,8.255,0.015,COCD,,-0.16,0.09,OPEN STAR CLUSTER
Sco OB4,a,o,258.15,-33.355,352.411,3.442,0.05,0.415,0.785,26,950,2868,1082,0.312,6.82,,COCD,ass,-0.063,0.129,OB ASSOCIATION/HII REGION
Platais 9,m,o,137.955,-43.53,266.479,3.264,0.14,1.02,2.1,27,518,2277,200,0,8.09,,COCD,,,,UNIDENTIFIED
NGC 869,,,34.74,57.145,134.621,-3.727,0.06,0.24,0.535,51,630,2233,2300,0.521,7.28,,COCD,ass,-0.3,,OPEN STAR CLUSTER
IC 4756,,,279.735,5.45,36.374,5.256,0.1,0.4,0.8,34,601,2024,483,0.208,8.79,,COCD,,-0.15,0.04,OPEN STAR CLUSTER
ASCC 88,,,256.71,-35.58,349.912,3.078,0.075,0.375,0.54,30,935,1955,1297,0.729,7,,COCD,,,,OPEN STAR CLUSTER
NGC 5822,,,226.118,-54.39,321.592,3.59,0.03,0.3,0.55,8,568,1817,794,0.312,8.84,0.013,COCD,,0.05,0.04,OPEN STAR CLUSTER
NGC 5139,g,o,201.697,-47.48,309.102,14.968,0.1,0.45,0.825,10,580,1717,5199,0.125,10.1,,HARR,glo,-1.445,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 2437,,,115.455,-14.805,231.86,4.078,0.04,0.35,0.57,30,837,1688,1375,0.15,8.35,,COCD,,-0.47,0.131,OPEN STAR CLUSTER
NGC 6124,,,246.315,-40.65,340.733,6.028,0.03,0.225,0.455,13,474,1631,559,0.656,8.285,,COCD,,,,OPEN STAR CLUSTER
NGC 884,,,35.513,57.145,135.017,-3.585,0.05,0.175,0.44,38,311,1609,2345,0.56,7.2,,COCD,ass,-0.3,,OPEN STAR CLUSTER
NGC 2099,,,88.088,32.57,177.626,3.109,0.06,0.19,0.485,65,431,1560,1400,0.35,8.55,,COCD,,0.089,0.14,OPEN STAR CLUSTER
NGC 7789,,,359.355,56.73,115.539,-5.364,0.05,0.24,0.415,71,755,1430,1800,0.221,9.265,0.009,COCD,,-0.24,0.09,OPEN STAR CLUSTER
Collinder 65,,,81.525,15.67,188.889,-10.871,0.1,1,1.5,13,592,1426,325,0.135,8.065,,COCD,,,,OPEN STAR CLUSTER
Platais 8,,,136.875,-59.16,277.533,-7.832,0.05,0.62,1.5,4,301,1377,141,0,7.75,,COCD,,-0.292,0.101,OPEN STAR CLUSTER
NGC 2546,,,122.963,-37.61,254.824,-2.06,0.04,0.275,0.565,14,346,1267,935,0.146,8.135,0.072,COCD,,0.12,0.13,OPEN STAR CLUSTER
NGC 1912,,,82.215,35.8,172.311,0.701,0.025,0.16,0.39,12,296,1229,1144,0.333,8.35,,COCD,,,,OPEN STAR CLUSTER
NGC 2477,,,118.035,-38.53,253.561,-5.842,0.05,0.31,0.45,36,770,1209,1450,0.291,8.915,0.007,COCD,,-0.192,0.074,OPEN STAR CLUSTER
NGC 6231,a,c,253.56,-41.83,343.469,1.17,0.04,0.23,0.4,24,461,1207,1393,0.562,7.05,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 7654,,,351.177,61.637,112.823,0.479,0.025,0.165,0.325,17,407,1137,1350,0.65,7.9,,COCD,,,,OPEN STAR CLUSTER
IC 1396,,,324.75,57.49,99.295,3.735,0.075,0.24,0.74,18,114,1068,600,0.421,6,,COCD,,,,OPEN STAR CLUSTER
ASCC 13,,,78.45,44.595,163.439,3.339,0.05,0.26,0.68,6,150,1007,800,0.2,7.71,,COCD,,,,OPEN STAR CLUSTER
Loden 624,,,186.577,-61.8,299.968,0.927,0.03,0.2,0.32,14,398,999,1423,0.416,7.6,,DIAS,,,,OPEN STAR CLUSTER
Johansson 1,,,236.562,-52.378,327.892,1.811,0.02,0.195,0.3,5,374,923,869,0.171,8.725,,DIAS,,,,OPEN STAR CLUSTER
NGC 2682,,,132.847,11.815,215.691,31.923,0.1,0.55,1.03,147,637,907,890,0.05,9.535,0.009,COCD,,-0.102,0.081,OPEN STAR CLUSTER
Cyg OB2,a,o,308.317,41.32,80.231,0.788,0.04,0.26,0.425,29,464,904,1593,1.832,6.72,,COCD,ass,,,OB ASSOCIATION/HII REGION
NGC 1582,,,67.875,43.79,159.25,-3.027,0.035,0.13,0.41,13,88,890,1000,0.2,8.665,0.069,COCD,,,,OPEN STAR CLUSTER
King 7,,,59.778,51.782,149.799,-1.022,0.05,0.185,0.35,81,384,886,2628,1.249,8.85,0.014,DIAS,,,,OPEN STAR CLUSTER
NGC 2447,,,116.145,-23.86,240.051,0.149,0.04,0.25,0.5,30,338,882,1037,0.05,8.68,0.022,COCD,,-0.095,0.11,OPEN STAR CLUSTER
IC 1276,g,o,272.683,-7.208,21.831,5.669,0.05,0.16,0.29,73,397,882,5399,1.083,10.1,,HARR,glo,-0.65,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Turner 9,,,296.205,29.26,64.757,2.502,0.07,0.435,0.555,9,519,870,852,0.15,8.03,,COCD,,,,OPEN STAR CLUSTER
Cep OB3,a,o,345.983,63.39,111.233,2.987,0.02,0.145,0.59,3,62,866,668,0.55,7.75,,COCD,ass,,,OB ASSOCIATION/HII REGION
NGC 6475,,,268.44,-34.78,355.863,-4.478,0.06,0.37,0.7,14,309,857,303,0.219,8.25,,COCD,,0.14,0.06,OPEN STAR CLUSTER
NGC 1746,,,76.14,23.83,179.125,-10.476,0.05,0.3,0.6,29,299,854,800,0.3,8.64,0.025,COCD,,,,OPEN STAR CLUSTER
Platais 6,m,o,93.765,3.85,205.32,-6.3,0.045,0.7,1.3,2,214,847,347,0,7.96,0.006,COCD,,,,UNIDENTIFIED
NGC 7082,,,322.2,47.11,91.127,-2.86,0.04,0.15,0.325,17,199,832,1300,0.239,8.002,0.17,COCD,,-0.01,0.15,OPEN STAR CLUSTER
Roslund 5,,,302.595,33.78,71.455,0.214,0.03,0.215,0.415,7,261,817,508,0.062,7.57,,COCD,,,,OPEN STAR CLUSTER
Trumpler 5,,,99.12,9.47,202.807,1.018,0.04,0.225,0.35,37,474,792,2753,0.625,9.5,,DIAS,var,-0.3,0.15,OPEN STAR CLUSTER
Cam OB3,a,o,60.195,56.45,146.938,2.676,0.11,0.3,0.66,34,182,774,2801,2.109,7.105,0.055,MELN,ass,,,OB ASSOCIATION/HII REGION
NGC 7243,,,333.795,49.875,98.85,-5.547,0.06,0.25,0.6,17,198,773,850,0.221,7.965,0.071,COCD,,,,OPEN STAR CLUSTER
IC 4725,,,277.928,-19.11,13.7,-4.415,0.035,0.235,0.38,8,320,771,561,0.479,7.97,,COCD,,-0.257,0.14,OPEN STAR CLUSTER
Ruprecht 64,,,129.27,-40.185,259.755,0.47,0.04,0.26,0.45,10,265,762,619,0.125,8.45,,COCD,,,,OPEN STAR CLUSTER
Cep OB5,a,o,345.567,57.022,108.462,-2.751,0.025,0.13,0.3,14,162,761,1819,0.625,7.5,,MELN,ass,,,OB ASSOCIATION/HII REGION
